Designator,Mid X,Mid Y,Rotation,Layer
C1,177.5,-52.5,270.0,top
C2,181.5,-56.5,90.0,top
D1,153.5,-77.0,0.0,top
D2,169.5,-77.0,0.0,top
D3,153.5,-86.0,0.0,top
D4,169.5,-86.0,0.0,top
J1,170.68,-50.15,180.0,top
J2,154.5,-60.0,180.0,top
R1,168.0,-56.5,0.0,top
R2,173.0,-56.5,180.0,top
R3,162.0,-49.0,180.0,top
SW1,161.5,-103.0,0.0,top
SW2,154.875,-50.5,0.0,top
U1,176.0,-61.0,270.0,top
